,0
C_1335_184.0638mz_1.83min_423_,0.02226205797045662
C_22629_162.1124mz_2.19min_245_,0.022999835354477995
C_744_205.0683mz_1.63min_8508_,0.022085792354847204
C_23952_261.1806mz_2.44min_74228_,0.023695448965175822
C_23368_183.0866mz_2.34min_35683_,0.021783891309205276
C_1338_186.0597mz_1.83min_7065_,0.023061784510541035
C_25986_165.0279mz_2.97min_98773_,0.02268813055805219
C_665_221.0418mz_1.59min_1535_,0.02270355433194398
C_23769_145.1050mz_2.42min_4640_,0.02138060387176963
C_22172_131.0895mz_2.08min_71952_,0.02213890606106984
C_40490_764.2762mz_6.99min_90268_,0.02316867891781914
C_36346_160.0968mz_6.12min_578_,0.0230435299310849
C_34555_248.1492mz_5.65min_13963_,0.02286982161356052
C_23805_144.1019mz_2.43min_377_,0.020794303720698636
C_2751_280.1950mz_10.21min_55121_,0.02282036794577128
C_25806_146.1175mz_2.95min _416_DEOXYCARNITINE),0.021671286052346608
C_14069_261.6223mz_14.19min_98932_,0.02331284794587095
C_1097_185.0686mz_1.76min_9360_,0.022707934787163077
C_1552_299.1269mz_1.89min_36712_,0.022608124072856613
C_48738_230.6601mz_9.06min_33895_,0.023013918002524558
C_23911_146.1059mz_2.44min_9698_,0.022389244338545326
C_26628_160.5618mz_3.00min_90346_,0.023408507671048066
C_22732_163.1100mz_2.20min_87612_,0.023667612470394665
C_23916_247.2013mz_2.44min_13890_,0.02233296149584737
C_26722_129.5235mz_3.02min_101753_,0.019838859521063644
C_6916_337.7389mz_11.47min_102338_,0.02291565911692449
C_6884_336.7362mz_11.47min_6580_,0.022469931179806293
C_554_223.0743mz_1.54min _54105_CYSTATHIONINE),0.0227992274823553
C_788_272.1340mz_1.65min_36624_,0.02070242842066734
C_22822_293.6258mz_2.22min_37916_,0.0219495599896473
C_6796_343.7437mz_11.43min_62439_,0.02224921516540003
C_6927_337.2375mz_11.48min_31876_,0.02167620010952097
C_732_206.0704mz_1.62min_96953_,0.021577859557498344
C_6908_237.4753mz_11.47min_79736_,0.02307317020611851
C_26643_125.0349mz_3.01min_16656_,0.020565610702975773
C_1364_186.0679mz_1.83min_88380_,0.022564105183964456
C_28754_659.1981mz_3.55min_101332_,0.022131367342440932
C_22641_164.1166mz_2.19min_9633_,0.023337700313382757
C_22146_130.0863mz_2.08min_9006_,0.02009344751890155
C_37432_701.2102mz_6.35min_54175_,0.022801511420218693
